fecha,vendedor,region,producto,categoria,cantidad,precio_unitario,total
2024-01-05,Ana García,Norte,Laptop,Electrónica,2,15000,30000
2024-01-07,Carlos López,Sur,Mouse,Accesorios,10,250,2500
2024-01-10,Ana García,Norte,Teclado,Accesorios,5,450,2250
2024-01-12,María Torres,Centro,Monitor,Electrónica,1,8500,8500
2024-01-15,Carlos López,Sur,Laptop,Electrónica,1,15000,15000
2024-01-18,María Torres,Centro,Mouse,Accesorios,8,250,2000
2024-01-20,Ana García,Norte,Auriculares,Accesorios,3,600,1800
2024-01-22,Carlos López,Sur,Monitor,Electrónica,2,8500,17000
2024-01-25,María Torres,Centro,Teclado,Accesorios,4,450,1800
2024-01-28,Ana García,Norte,Mouse,Accesorios,15,250,3750
2024-02-02,Carlos López,Sur,Auriculares,Accesorios,6,600,3600
2024-02-05,María Torres,Centro,Laptop,Electrónica,3,15000,45000
2024-02-08,Ana García,Norte,Monitor,Electrónica,2,8500,17000
2024-02-10,Carlos López,Sur,Teclado,Accesorios,7,450,3150
2024-02-14,María Torres,Centro,Mouse,Accesorios,12,250,3000
2024-02-18,Ana García,Norte,Laptop,Electrónica,1,15000,15000
2024-02-20,Carlos López,Sur,Auriculares,Accesorios,4,600,2400
2024-02-22,María Torres,Centro,Monitor,Electrónica,1,8500,8500
2024-02-25,Ana García,Norte,Teclado,Accesorios,6,450,2700
2024-02-28,Carlos López,Sur,Mouse,Accesorios,20,250,5000
2024-03-03,María Torres,Centro,Laptop,Electrónica,2,15000,30000
2024-03-06,Ana García,Norte,Auriculares,Accesorios,5,600,3000
2024-03-10,Carlos López,Sur,Monitor,Electrónica,3,8500,25500
2024-03-14,María Torres,Centro,Teclado,Accesorios,8,450,3600
2024-03-18,Ana García,Norte,Mouse,Accesorios,10,250,2500
2024-03-20,Carlos López,Sur,Laptop,Electrónica,2,15000,30000
2024-03-24,María Torres,Centro,Auriculares,Accesorios,7,600,4200
2024-03-28,Ana García,Norte,Monitor,Electrónica,1,8500,8500
2024-03-30,Carlos López,Sur,Teclado,Accesorios,5,450,2250
2024-03-31,María Torres,Centro,Mouse,Accesorios,18,250,4500
